host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,99%,t,Roxbury,t,42.32844,-71.09581,Other,Entire home/apt,2,1.0,1.0,1.0,3,90,5,0,4.79,4.88,4.9,4.95,4.89,4.56,4.75,STR-490093,f,$139.00,Fast,1.0,0.99,True,True,False
within an hour,100%,99%,t,Roxbury,t,42.32802,-71.09387,Apartment,Entire home/apt,4,1.0,0.0,2.0,3,730,4,0,4.81,4.82,4.87,4.9,4.95,4.52,4.72,STR-491702,f,$179.00,Fast,1.0,0.99,True,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.35867,-71.06307,Other,Entire home/apt,2,1.0,1.0,2.0,91,365,3,0,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,$92.00,Fast,1.0,0.46,True,True,False
within a day,72%,93%,f,Dorchester,t,42.32212,-71.06096,Other,Entire home/apt,7,1.0,3.0,3.0,30,1125,1,0,4.31,4.5,4.71,4.56,4.46,4.24,4.48,,t,$143.00,Moderate,0.72,0.93,False,True,True
within an hour,100%,100%,f,Charlestown,t,42.37754,-71.06642,Other,Entire home/apt,2,1.0,1.0,1.0,2,28,1,0,4.97,4.96,4.97,5.0,4.97,4.8,4.96,STR-454024,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,78%,t,Jamaica Plain,t,42.31347,-71.11082,Other,Private room,2,1.5,1.0,1.0,29,120,5,0,4.98,4.95,5.0,4.97,4.94,4.93,4.93,STR-551851,f,$100.00,Fast,1.0,0.78,True,True,False
within an hour,100%,100%,t,Charlestown,t,42.37424,-71.06081,Other,Entire home/apt,3,1.0,1.0,1.0,29,1125,3,1,4.66,4.68,4.76,4.74,4.71,4.82,4.52,STR-409822,f,$100.00,Fast,1.0,1.0,True,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,1.5,3.0,3.0,1,365,1,0,4.45,4.53,4.44,4.71,4.71,4.25,4.51,STR-492781,f,$100.00,Fast,1.0,0.89,False,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Private room,1,1.0,1.0,1.0,29,29,2,0,4.73,4.65,4.57,4.87,4.91,4.16,4.63,STR-415714,f,$80.00,Fast,1.0,0.75,True,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.35894,-71.0631,Other,Entire home/apt,2,1.0,1.0,1.0,32,365,0,0,4.84,4.89,4.63,4.84,4.89,5.0,4.68,,f,$105.00,Fast,1.0,0.46,True,True,False
